left_foot_X,left_foot_Y,left_foot_Z,left_knee_X,left_knee_Y,left_knee_Z,left_hip_X,left_hip_Y,left_hip_Z,left_upper_hip_X,left_upper_hip_Y,left_upper_hip_Z,left_upper_knee_X,left_upper_knee_Y,left_upper_knee_Z,left_lower_knee_X,left_lower_knee_Y,left_lower_knee_Z,left_ankle_X,left_ankle_Y,left_ankle_Z,right_ankle_X,right_ankle_Y,right_ankle_Z,right_lower_knee_X,right_lower_knee_Y,right_lower_knee_Z,right_upper_knee_X,right_upper_knee_Y,right_upper_knee_Z,right_upper_hip_X,right_upper_hip_Y,right_upper_hip_Z,right_hip_X,right_hip_Y,right_hip_Z,right_knee_X,right_knee_Y,right_knee_Z,right_foot_X,right_foot_Y,right_foot_Z,Joint15,right_foot_ex_X,right_foot_ex_Y
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
-0.075,7.50E-07,0.1455,-0.075,7.50E-07,0.1455,-0.161871689,-0.000444926,0.525431702,-0.257762376,-0.136677265,0.945079957,-0.257762376,-0.136677265,0.945079957,-0.263950394,0.018641641,1.134127559,-0.05226255,0.134994655,1.14150948,-0.052988635,0.250083001,1.142977576,-0.266382237,0.404303174,1.139001491,-0.26113694,0.406690553,0.950089375,-0.305094464,0.411834684,0.521769829,-0.13931665,0.280116402,0.265038212,-0.344197076,0.280789014,0.132396877,-0.269219203,0.281176345,0.134176915,-0.265776477,0.283165605,-0.011268747
-0.075,7.50E-07,0.1455,-0.075,7.50E-07,0.1455,-0.161882967,-0.00056671,0.525428961,-0.257760168,-0.136933554,0.945036609,-0.257760168,-0.136933554,0.945036609,-0.263950021,0.018336688,1.134124123,-0.052261543,0.134688398,1.141508406,-0.05298694,0.249776747,1.142976655,-0.266380973,0.403997576,1.139049521,-0.26113409,0.406447139,0.950138246,-0.305095767,0.411721072,0.521820704,-0.139299662,0.280118985,0.265041315,-0.344184374,0.280793523,0.132406612,-0.269206502,0.281180338,0.134186791,-0.265763492,0.283170299,-0.011258854
-0.075,7.50E-07,0.1455,-0.075,7.50E-07,0.1455,-0.161905411,-0.000809533,0.525423388,-0.257755744,-0.137444522,0.944949936,-0.257755744,-0.137444522,0.944949936,-0.263949257,0.017728664,1.134116986,-0.052259505,0.134077758,1.141506001,-0.052983521,0.249166111,1.142974564,-0.266378405,0.403388218,1.139145029,-0.261128344,0.405961781,0.950235491,-0.305098304,0.411494551,0.521922065,-0.139265714,0.280124189,0.265047597,-0.34415892,0.280802593,0.132426035,-0.26918105,0.281188374,0.134206498,-0.265737469,0.28317974,-0.011239115
-0.075,7.50E-07,0.1455,-0.075,7.50E-07,0.1455,-0.161938802,-0.001171901,0.525414802,-0.257749083,-0.138206952,0.944819996,-0.257749083,-0.138206952,0.944819996,-0.2639481,0.01682134,1.13410563,-0.052256455,0.133166536,1.141501737,-0.052978415,0.248254897,1.142970767,-0.266374581,0.402478776,1.139286836,-0.261119748,0.405237374,0.950380042,-0.30510193,0.411156372,0.522073034,-0.13921495,0.280131899,0.265057063,-0.344120756,0.280816066,0.132454999,-0.269142888,0.281200306,0.134235893,-0.265698442,0.283193774,-0.01120967
-0.075,7.50E-07,0.1455,-0.075,7.50E-07,0.1455,-0.161982969,-0.001651597,0.525402909,-0.25774018,-0.139216064,0.944646879,-0.25774018,-0.139216064,0.944646879,-0.263946545,0.015620311,1.134089293,-0.052252392,0.131960342,1.141494864,-0.052971629,0.247048711,1.142964529,-0.266369499,0.401274715,1.13947329,-0.261108294,0.40427826,0.950570409,-0.305106443,0.410708533,0.522272412,-0.139147544,0.2801421,0.26506984,-0.34406987,0.28083394,0.132493348,-0.269092005,0.281216142,0.134274823,-0.265646393,0.283212439,-0.011170674
-0.075,7.50E-07,0.1455,-0.075,7.50E-07,0.1455,-0.16206847,-0.002584503,0.525378119,-0.257722548,-0.141177987,0.944306604,-0.257722548,-0.141177987,0.944306604,-0.263943419,0.013284799,1.134053274,-0.05224439,0.129614769,1.141477492,-0.052958324,0.244703155,1.142948429,-0.266359537,0.398932556,1.139831715,-0.261085751,0.402412455,0.950937359,-0.305114223,0.409836977,0.52265856,-0.139015709,0.280161826,0.265095459,-0.343969637,0.280868709,0.132567904,-0.268991779,0.281246943,0.134350549,-0.265543824,0.283248857,-0.011094815
-0.075,7.50E-07,0.1455,-0.075,7.50E-07,0.1455,-0.162137684,-0.003343115,0.525356328,-0.257707912,-0.142772804,0.944026395,-0.257707912,-0.142772804,0.944026395,-0.263940785,0.011385847,1.134019847,-0.052237798,0.127707633,1.141459458,-0.052947422,0.242796032,1.142931478,-0.266351391,0.39702747,1.14011913,-0.261067204,0.400894723,0.951232599,-0.305119703,0.409127704,0.522971049,-0.138907885,0.280177834,0.265117068,-0.343886999,0.280897055,0.132628539,-0.268909149,0.281272068,0.134412169,-0.265459224,0.283278674,-0.011033084
-0.075,7.50E-07,0.1455,-0.075,7.50E-07,0.1455,-0.162216009,-0.004205723,0.525329779,-0.25769094,-0.144585638,0.943703952,-0.25769094,-0.144585638,0.943703952,-0.263937691,0.009226813,1.13397733,-0.052230206,0.125539271,1.141434713,-0.052934919,0.240627684,1.142908007,-0.266342052,0.394860664,1.140441521,-0.261045831,0.399168365,0.951564858,-0.305124898,0.408320581,0.5233247,-0.138784482,0.280195963,0.265142477,-0.343791674,0.280929336,0.132697476,-0.268813834,0.281300686,0.134482269,-0.265361584,0.283312753,-0.010962853
-0.075,7.50E-07,0.1455,-0.075,7.50E-07,0.1455,-0.162339172,-0.00516939,0.525289581,-0.257659756,-0.146609131,0.943341873,-0.257659756,-0.146609131,0.943341873,-0.263924219,0.006816303,1.133926874,-0.052212111,0.123118832,1.141407852,-0.052911684,0.238207236,1.142884331,-0.266322803,0.392440386,1.140803545,-0.261011389,0.397241743,0.951939213,-0.30511567,0.407424549,0.523724917,-0.138629764,0.280224592,0.265179512,-0.343666464,0.280975291,0.132780294,-0.268688651,0.281342742,0.134567054,-0.265232525,0.283363235,-0.010877859
-0.075,7.50E-07,0.1455,-0.075,7.50E-07,0.1455,-0.162397524,-0.006221123,0.525260383,-0.257649888,-0.148818625,0.942934744,-0.257649888,-0.148818625,0.942934744,-0.263929988,0.004183405,1.133859308,-0.052211993,0.120473996,1.141359244,-0.052905208,0.235562438,1.142835688,-0.266319869,0.389795798,1.141176346,-0.260994733,0.395132491,0.952326769,-0.305132898,0.406432118,0.52414398,-0.138493047,0.280237791,0.265205254,-0.343563547,0.281004746,0.132858488,-0.268585733,0.281367535,0.13464616,-0.265127738,0.283392885,-0.010798641
